,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
0,ubo50,1,2,0,"[0, 2, 4, 9, 11, 4, 6, 1, 1, 2, 1, 8, 5, 9, 3, 5, 3, 7, 3, 5, 9, 2, 2, 8, 3, 1, 7, 11, 10, 9, 2, 8, 2, 1, 1, 2, 1, 1, 4, 3, 2, 1, 7, 4, 7, 8, 2, 2, 4, 5, 11, 0]",60,0.195531,179.0,60.0,Feasible
1,ubo50,1,2,1,"[0, 2, 4, 5, 2, 4, 3, 1, 5, 2, 3, 8, 3, 12, 9, 2, 4, 10, 8, 5, 7, 2, 4, 7, 1, 1, 3, 12, 8, 9, 2, 9, 4, 5, 3, 1, 1, 2, 2, 4, 1, 1, 6, 5, 6, 9, 3, 1, 6, 8, 11, 0]",60,,,0.004,Infeasible
2,ubo50,1,2,2,"[0, 1, 4, 5, 6, 5, 1, 3, 1, 6, 3, 8, 5, 4, 8, 2, 1, 13, 5, 1, 3, 3, 10, 9, 3, 4, 2, 4, 8, 4, 3, 8, 1, 2, 3, 7, 3, 1, 7, 2, 3, 5, 7, 1, 7, 8, 2, 2, 3, 2, 8, 0]",60,,,0.004,Infeasible
3,ubo50,1,2,3,"[0, 1, 3, 1, 9, 1, 6, 8, 1, 2, 2, 2, 5, 7, 7, 1, 4, 11, 3, 8, 7, 2, 5, 6, 1, 6, 1, 3, 2, 10, 3, 9, 1, 5, 3, 4, 5, 3, 1, 4, 4, 2, 3, 5, 4, 3, 3, 1, 8, 3, 13, 0]",60,,,0.003,Infeasible
4,ubo50,1,2,4,"[0, 1, 4, 1, 10, 5, 3, 10, 1, 5, 1, 2, 3, 7, 4, 4, 4, 13, 7, 8, 5, 2, 4, 3, 1, 5, 1, 5, 4, 10, 2, 8, 8, 2, 1, 3, 1, 3, 2, 5, 1, 5, 5, 2, 8, 6, 2, 1, 7, 7, 12, 0]",60,,,0.003,Infeasible
5,ubo50,1,2,5,"[0, 3, 2, 7, 2, 1, 3, 10, 7, 1, 3, 8, 1, 6, 1, 5, 4, 13, 5, 8, 7, 3, 4, 9, 1, 1, 7, 8, 8, 11, 2, 6, 6, 3, 3, 6, 4, 3, 9, 4, 3, 5, 8, 4, 3, 9, 1, 2, 6, 3, 4, 0]",60,,,0.003,Infeasible
6,ubo50,1,2,6,"[0, 3, 1, 6, 11, 5, 2, 3, 8, 7, 1, 5, 1, 9, 3, 5, 4, 9, 8, 7, 5, 1, 7, 5, 3, 3, 3, 11, 11, 7, 2, 11, 9, 5, 1, 3, 3, 2, 5, 1, 1, 4, 3, 5, 4, 12, 2, 3, 6, 5, 3, 0]",60,,,0.004,Infeasible
7,ubo50,1,2,7,"[0, 1, 5, 3, 5, 2, 5, 5, 1, 3, 2, 7, 4, 11, 8, 1, 3, 5, 9, 6, 12, 1, 6, 10, 2, 1, 3, 8, 7, 2, 3, 6, 8, 4, 1, 2, 3, 1, 7, 2, 7, 5, 3, 4, 6, 7, 3, 3, 3, 8, 8, 0]",60,,,0.003,Infeasible
8,ubo50,1,2,8,"[0, 1, 4, 9, 10, 1, 1, 8, 3, 5, 1, 8, 5, 4, 2, 3, 5, 12, 6, 2, 7, 2, 11, 7, 1, 2, 1, 9, 11, 7, 2, 12, 9, 1, 2, 4, 5, 2, 1, 5, 1, 4, 3, 5, 4, 13, 1, 3, 1, 1, 7, 0]",60,,,0.003,Infeasible
9,ubo50,1,2,9,"[0, 3, 3, 3, 7, 1, 1, 4, 5, 1, 3, 6, 4, 4, 5, 5, 4, 5, 3, 11, 4, 3, 7, 11, 1, 3, 2, 7, 11, 8, 2, 10, 9, 2, 3, 2, 4, 2, 4, 4, 4, 2, 8, 4, 1, 8, 1, 2, 3, 8, 9, 0]",60,,,0.004,Infeasible
